,coef,HR exp(coef),SE,coef lower 95.0% CI,coef upper 95.0% CI,HR lower 95.0% CI,HR upper 95.0% CI,z,p-value,-log2(p),-log10(p)
CDKN1B,-0.6704112502076198,0.5114981807935558,0.29118956622460546,-1.2411323126816876,-0.0996901877335522,0.2890567299635821,0.9051177911964876,-2.3023189288674804,0.02131719311888214,5.551838701961824,1.6712699803786908
CASC15,-0.4677227194723802,0.6264271956418365,0.1068045173761452,-0.6770557269158072,-0.2583897120289532,0.5081108091633755,0.7722942011129736,-4.379240981213835,1.1909338020532623e-05,16.357547251078362,4.924112378065487
SMARCA4,-0.20501586354658344,0.8146343933182649,0.2581645648012064,-0.711009112641405,0.30097738554823816,0.49114832332474295,1.351178785025052,-0.7941285966354488,0.42712057130846826,1.2272847110491714,0.3694495112456025
NTRK1,-0.20071924136393066,0.8181420997717258,0.05660560669407708,-0.31166419180736116,-0.08977429092050018,0.7322273748987048,0.9141374911194576,-3.5459250962313753,0.0003912373974267469,11.319668098974523,3.407559638752007
NTRK3,-0.16004518570331308,0.8521052851197012,0.08506127188396853,-0.3267622150750609,0.006671843668434763,0.7212552262575731,1.0066941499979234,-1.8815282461521334,0.059900096636914646,4.061297859256739,1.2225724769621924
NTRK2,-0.06345494276401445,0.9385164053031617,0.07393649609501968,-0.20836781225333936,0.08145792672531046,0.8119083519449138,1.0848675726924037,-0.8582357308691659,0.39076230969814796,1.3556367735223127,0.4080873320553553
DDX1,-0.01577744671672596,0.9843463651952266,0.053185391462028574,-0.12001889848596604,0.08846400505251413,0.8869036754221132,1.0924949276051852,-0.29665000638361727,0.7667337287961635,0.38320244915530577,0.11535543160764866
MYCN,-0.01110084081571009,0.9889605461587143,0.07722858015490743,-0.1624660764964934,0.14026439486507322,0.8500449262383221,1.1505779655513575,-0.14374006091324854,0.885705735631246,0.17510063342157034,0.05271054291965568
BARD1,0.06282759476976726,1.0648432388611706,0.17055490834144227,-0.2714538829659896,0.3971090725055242,0.7622704363090969,1.4875181685369219,0.36837166036869257,0.7125961258108628,0.48884345493095394,0.14715654311823065
ALK,0.10183022249114097,1.107195478879682,0.07345982403028871,-0.04214838691887489,0.24580883190115682,0.9587275073961434,1.278655112109011,1.3862029188792322,0.1656849504729132,2.5934855295285693,0.7807169377085832
LIN28B,0.16795085463537865,1.1828784762252869,0.13160269718068765,-0.08998569210710003,0.4258874013778573,0.9139442617942936,1.530948382749388,1.276196143645793,0.20188619151675058,2.3083858573808156,0.6948933846381424
PHOX2B,0.17429929334220795,1.190411794833897,0.2174234805678584,-0.25184289796413883,0.6004414846485547,0.7773668543917694,1.8229234154682579,0.8016580954687124,0.4227507619776911,1.2421207398962302,0.3739156009451033
AXIN2,0.20385308876429342,1.2261180097120357,0.1457125720905689,-0.08173830462791787,0.4894444821565047,0.9215130828535304,1.631409690988788,1.3990082382018951,0.16181051265427193,2.627622753735685,0.7909932661636316
BRCA1,0.2526684188967589,1.2874563098678526,0.18208870285376982,-0.1042188806882457,0.6095557184817635,0.9010280581945571,1.8396139107364382,1.3876117240489632,0.16525530946643474,2.5972314702476407,0.7818445782270027
LMO1,0.31428301559984656,1.3692772085250091,0.09427457301147743,0.12950824783945902,0.4990577833602341,1.1382684996799153,1.6471685496991924,3.333698637506258,0.0008569945502764353,10.188426349440565,3.067021939794885
TP53,0.3728589220810538,1.4518794972457,0.17144844358293143,0.03682614745306084,0.7088916967090468,1.037512630944619,2.031738228192179,2.174758278868236,0.029648235070369067,5.075909964632874,1.5280011546441932
MDM2,0.5804478928773333,1.7868385638154243,0.14252366288174753,0.30110664668438003,0.8597891390702866,1.3513534512184673,2.362662447976983,4.072642262632089,4.6482790759694304e-05,14.392943785765265,4.332707805420843
